RELATÓRIO DE DESEMPENHO DE FILMES - CINEVIBE
Gerado em: 07/02/2026 às 14:09
Total de Filmes: 40

ESTATÍSTICAS GERAIS
Filmes com Reservas:,33
Filmes sem Reservas:,7
Filmes em Exibição:,35
Filmes Brevemente:,5


ID,Título,Diretor,Data Lançamento,Duração (min),Estado,Total Reservas,Receita (€),Status
2,Superman (2025),James Gunn,11/07/2025,150,EM EXIBIÇÃO,101,1529.18,POPULAR
1,Rambo III,Peter MacDonald,25/05/1988,102,EM EXIBIÇÃO,70,911.66,POPULAR
3,E.T. the Extra-Terrestrial,Steven Spielberg,11/06/1982,115,EM EXIBIÇÃO,13,208.38,ATIVO
7,The Karate Kid,John G. Avildsen,22/06/1984,126,EM EXIBIÇÃO,7,204.80,ATIVO
42,Materialists,Celine Song,13/06/2025,117,EM EXIBIÇÃO,7,133.18,ATIVO
4,Back to the Future,Robert Zemeckis,03/07/1985,116,EM EXIBIÇÃO,6,106.32,ATIVO
5,Jurassic Park,Steven Spielberg,11/06/1993,127,EM EXIBIÇÃO,6,89.65,ATIVO
31,Lawrence da Arábia,David Lean,16/12/1962,216,EM EXIBIÇÃO,4,81.82,ATIVO
10,Seven,David Fincher,22/09/1995,127,EM EXIBIÇÃO,6,75.70,ATIVO
19,Gladiator II,Ridley Scott,22/11/2024,148,EM EXIBIÇÃO,8,69.48,ATIVO
35,O Exorcista,William Friedkin,26/12/1973,122,EM EXIBIÇÃO,5,66.71,ATIVO
25,Mortal Kombat 2,Simon McQuoid,08/05/2026,118,BREVEMENTE,6,64.93,ATIVO
6,Scream,Wes Craven,20/12/1996,111,EM EXIBIÇÃO,7,64.40,ATIVO
12,Como Treinares o Teu Dragão 3,Dean DeBlois,22/02/2019,104,EM EXIBIÇÃO,6,62.97,ATIVO
18,Sinners,Ryan Coogler,18/04/2025,138,EM EXIBIÇÃO,2,56.13,ATIVO
34,Taxi Driver,Martin Scorsese,08/02/1976,114,EM EXIBIÇÃO,4,56.02,ATIVO
29,Sunset Boulevard,Billy Wilder,10/08/1850,112,EM EXIBIÇÃO,4,52.90,ATIVO
32,2001: Odisseia no Espaço,Stanley Kubrick,02/04/1968,149,EM EXIBIÇÃO,5,51.03,ATIVO
20,The Batman,Matt Reeves,04/03/2022,176,EM EXIBIÇÃO,2,51.00,ATIVO
39,La La Land,Damien Chazelle,09/12/2016,128,EM EXIBIÇÃO,4,46.32,ATIVO
28,Cantando na Chuva,"Stanley Donen, Gene Kelly",11/04/1952,103,EM EXIBIÇÃO,4,41.45,ATIVO
9,Homem-Aranha: No Aranhaverso,"Bob Persichetti, Peter Ramsey, Rodney Rothman",14/12/2018,117,EM EXIBIÇÃO,4,38.38,ATIVO
30,Psycho,Alfred Hitchcock,08/09/1960,109,EM EXIBIÇÃO,3,34.28,ATIVO
15,Demon Slayer – Infinity Castle,Haruo Sotozaki,18/07/2025,155,EM EXIBIÇÃO,5,27.97,ATIVO
40,Casablanca,Michael Curtiz,25/11/1950,102,EM EXIBIÇÃO,2,26.16,ATIVO
17,Rocky IV,Sylvester Stallone,27/11/1985,91,EM EXIBIÇÃO,2,21.74,ATIVO
27,Supergirl: Woman of Tomorrow,Craig Gillespie,26/06/2026,135,BREVEMENTE,2,20.14,ATIVO
13,The Black Phone 2,Scott Derrickson,17/10/2025,114,EM EXIBIÇÃO,2,18.42,ATIVO
11,The Hangover,Todd Phillips,05/06/2009,100,EM EXIBIÇÃO,1,12.90,ATIVO
38,Os Caçadores da Arca Perdida,Steven Spielberg,08/05/1986,115,EM EXIBIÇÃO,1,11.36,ATIVO
23,Five Nights at Freddy's 2,Emma Tammi,04/12/2025,105,EM EXIBIÇÃO,1,10.54,ATIVO
16,The Smashing Machine,Benny Safdie,03/10/2025,123,EM EXIBIÇÃO,1,9.43,ATIVO
8,The Shawshank Redemption,Frank Darabont,23/09/1994,142,EM EXIBIÇÃO,1,9.41,ATIVO
26,Spider-Man: Brand New Day,Jon Watts,10/07/2026,142,BREVEMENTE,0,0.00,SEM RESERVAS
14,The Conjuring: Last Rites,Michael Chaves,05/09/2025,135,EM EXIBIÇÃO,0,0.00,SEM RESERVAS
24,28 Years Later: The Bone Temple,Ava Richardson,16/01/2026,110,EM EXIBIÇÃO,0,0.00,SEM RESERVAS
33,Star Wars: Episódio IV - Uma Nova Esperança,George Lucas,25/05/1977,121,EM EXIBIÇÃO,0,0.00,SEM RESERVAS
22,Odisseia,Christopher Nolan,04/12/2026,165,BREVEMENTE,0,0.00,SEM RESERVAS
43,Super Mario Galaxy,Aaron Horvath,02/03/2026,120,BREVEMENTE,0,0.00,SEM RESERVAS
52,Avenger's Doomsday,A definir,01/01/2024,200,EM EXIBIÇÃO,0,0.00,SEM RESERVAS

,,,,,TOTAIS:,302,4264.76 €,
